"","parcela","N1","V1","AB1","AD1","E1","N2","V2","AB2","AD2","E2","Aclareo","Et","ABu","B"
"133",7,247.096614776378,230.942982,28.2408,22.5552,22.1,247.096614776378,254.089058,30.26128,23.1648,24,"SA",0,0,0
"134",7,247.096614776378,254.089058,30.26128,23.1648,24,247.096614776378,281.146457,32.30472,23.7744,26,"SA",0,0,0
"135",7,247.096614776378,281.146457,32.30472,23.7744,26,247.096614776378,313.087762,34.53184,24.384,28.1,"SA",0,0,0
"136",7,247.096614776378,313.087762,34.53184,24.384,28.1,247.096614776378,332.56741,36.13904,24.9936,30,"SA",0,0,0
"137",7,247.096614776378,332.56741,36.13904,24.9936,30,247.096614776378,358.092466,37.90696,25.6032,32.1,"SA",0,0,0
"138",7,247.096614776378,358.092466,37.90696,25.6032,32.1,247.096614776378,385.009925,39.39936,26.5176,34.1,"SA",0,0,0
"139",7,247.096614776378,385.009925,39.39936,26.5176,34.1,247.096614776378,405.252246,40.50144,26.8224,36.2,"SA",0,0,0
"140",7,247.096614776378,405.252246,40.50144,26.8224,36.2,NA,NA,NA,NA,NA,"SA",0,0,0
"141",8,123.548307388189,0,1.07912,0,4.2,123.548307388189,4.023275,1.6072,7.0104,5.1,"SA",0,0,0
"142",8,123.548307388189,4.023275,1.6072,7.0104,5.1,123.548307388189,7.304868,2.34192,8.8392,6.2,"SA",0,0,0
"143",8,123.548307388189,7.304868,2.34192,8.8392,6.2,123.548307388189,11.838924,3.28328,10.0584,7,"SA",0,0,0
"144",8,123.548307388189,11.838924,3.28328,10.0584,7,123.548307388189,14.945592,3.81136,10.9728,7.7,"SA",0,0,0
"145",8,123.548307388189,14.945592,3.81136,10.9728,7.7,123.548307388189,23.698839,5.34968,12.192,8.9,"SA",0,0,0
"146",8,123.548307388189,23.698839,5.34968,12.192,8.9,123.548307388189,33.508633,6.84208,13.4112,10.3,"SA",0,0,0
"147",8,123.548307388189,33.508633,6.84208,13.4112,10.3,123.548307388189,49.88861,8.97736,14.9352,12.1,"SA",0,0,0
"148",8,123.548307388189,49.88861,8.97736,14.9352,12.1,123.548307388189,67.828918,11.11264,16.4592,14.3,"SA",0,0,0
"149",8,123.548307388189,67.828918,11.11264,16.4592,14.3,123.548307388189,83.327273,12.88056,17.3736,16.1,"SA",0,0,0
"150",8,123.548307388189,83.327273,12.88056,17.3736,16.1,123.548307388189,104.136351,14.74032,18.5928,18.1,"SA",0,0,0
"151",8,123.548307388189,104.136351,14.74032,18.5928,18.1,123.548307388189,130.291137,16.92152,20.4216,20.3,"SA",0,0,0
"152",8,123.548307388189,130.291137,16.92152,20.4216,20.3,123.548307388189,146.118351,18.1384,21.336,22.1,"SA",0,0,0
"153",8,123.548307388189,146.118351,18.1384,21.336,22.1,123.548307388189,159.825474,19.37824,21.9456,24,"SA",0,0,0
"154",8,123.548307388189,159.825474,19.37824,21.9456,24,123.548307388189,176.121487,20.59512,22.5552,26,"SA",0,0,0
"155",8,123.548307388189,176.121487,20.59512,22.5552,26,123.548307388189,198.001106,22.40896,23.4696,28.1,"SA",0,0,0
"156",8,123.548307388189,198.001106,22.40896,23.4696,28.1,123.548307388189,213.324536,23.37328,24.0792,30,"SA",0,0,0
"157",8,123.548307388189,213.324536,23.37328,24.0792,30,123.548307388189,231.25085,24.47536,24.9936,32.1,"SA",0,0,0
"158",8,123.548307388189,231.25085,24.47536,24.9936,32.1,123.548307388189,245.321817,25.55448,25.2984,34.1,"SA",0,0,0
"159",8,123.548307388189,245.321817,25.55448,25.2984,34.1,123.548307388189,254.166025,26.0596,25.6032,36.2,"SA",0,0,0
"160",8,123.548307388189,254.166025,26.0596,25.6032,36.2,NA,NA,NA,NA,NA,"SA",0,0,0
"161",9,2866.32073140598,0,13.68416,0,4.2,2866.32073140598,34.278303,18.87312,6.096,5.1,"SA",0,0,0
"162",9,2866.32073140598,34.278303,18.87312,6.096,5.1,2866.32073140598,57.984139,25.4856,7.62,6.2,"SA",0,0,0
"163",9,2866.32073140598,57.984139,25.4856,7.62,6.2,2866.32073140598,83.796072,30.6516,8.8392,7,"SA",0,0,0
"164",9,2866.32073140598,83.796072,30.6516,8.8392,7,2841.61106992834,98.440793,33.26904,9.4488,7.7,"SA",0,0,0
"165",9,2841.61106992834,98.440793,33.26904,9.4488,7.7,2742.77242401779,123.678972,36.162,10.668,8.9,"SA",0,0,0
"166",9,2742.77242401779,123.678972,36.162,10.668,8.9,1976.77291821102,112.749658,30.67456,11.2776,10.3,"A1",8.9,36.162,0.848253968253968
"167",9,1976.77291821102,112.749658,30.67456,11.2776,10.3,1976.77291821102,145.621564,34.6696,13.1064,12.1,"A1",8.9,36.162,0.958730158730159
"168",9,1976.77291821102,145.621564,34.6696,13.1064,12.1,1000.74128984433,110.965423,22.93704,14.0208,14.3,"A1",8.9,36.162,0.634285714285714
"169",9,1000.74128984433,110.965423,22.93704,14.0208,14.3,988.38645910551,141.556307,27.00096,15.24,16.1,"A1",8.9,36.162,0.746666666666667
"170",9,988.38645910551,141.556307,27.00096,15.24,16.1,494.193229552755,110.363681,18.41392,17.0688,18.1,"A1",8.9,36.162,0.509206349206349
"171",9,494.193229552755,110.363681,18.41392,17.0688,18.1,494.193229552755,154.346823,22.54672,19.5072,20.3,"A1",8.9,36.162,0.623492063492064
"172",9,494.193229552755,154.346823,22.54672,19.5072,20.3,247.096614776378,102.988843,14.07448,20.4216,22.1,"A2",20.3,22.54672,0.624236252545825
"173",9,247.096614776378,102.988843,14.07448,20.4216,22.1,247.096614776378,123.280143,16.16384,21.0312,24,"A2",20.3,22.54672,0.716904276985743
"174",9,247.096614776378,123.280143,16.16384,21.0312,24,247.096614776378,142.969701,18.00064,21.9456,26,"A2",20.3,22.54672,0.79837067209776
"175",9,247.096614776378,142.969701,18.00064,21.9456,26,247.096614776378,167.445207,20.57216,22.2504,28.1,"A2",20.3,22.54672,0.912423625254582
"176",9,247.096614776378,167.445207,20.57216,22.2504,28.1,247.096614776378,191.151043,22.54672,22.86,30,"A2",20.3,22.54672,1
"177",9,247.096614776378,191.151043,22.54672,22.86,30,247.096614776378,213.933275,24.70496,23.1648,32.1,"A2",20.3,22.54672,1.09572301425662
"178",9,247.096614776378,213.933275,24.70496,23.1648,32.1,247.096614776378,234.966257,26.44992,23.4696,34.1,"A2",20.3,22.54672,1.17311608961303
"179",9,247.096614776378,234.966257,26.44992,23.4696,34.1,247.096614776378,260.806178,28.72296,24.0792,36.2,"A2",20.3,22.54672,1.27393075356415
"180",9,247.096614776378,260.806178,28.72296,24.0792,36.2,NA,NA,NA,NA,NA,"SA",0,0,0
"181",10,2891.03039288362,0,13.84488,0,4.2,2878.6755621448,33.23575,19.01088,5.7912,5.1,"SA",0,0,0
"182",10,2878.6755621448,33.23575,19.01088,5.7912,5.1,1976.77291821102,42.422811,19.14864,7.3152,6.2,"SA",0,0,0
"183",10,1976.77291821102,42.422811,19.14864,7.3152,6.2,1976.77291821102,64.876184,23.80952,8.5344,7,"SA",0,0,0
"184",10,1976.77291821102,64.876184,23.80952,8.5344,7,1976.77291821102,78.051535,26.65656,9.144,7.7,"SA",0,0,0
"185",10,1976.77291821102,78.051535,26.65656,9.144,7.7,1964.4180874722,103.926441,30.74344,10.668,8.9,"SA",0,0,0
