parcela2,parcela,N,N2,V,V2,ABu,ABu2,AB,AB2,CI,CI2,AD,AD2,E,E2,Anio_Aclareo,Aclareo,star_aclareo,Densidad,Densidad2,Mortalidad,V_mort,AB_mort,V_punta_10cm,V_punta_10cm2,V_mort_punta10cm,V_punta_15cm,V_punta_15cm2,DCM
2,2,864.8381517,765.9995058,449.648211,459.066173,0,0,51.66,50.71864,#¿NOMBRE?,#¿NOMBRE?,24.6888,25.6032,32.1,34.1,SA,SA,NA,Media,Baja,37.06449222,7.717691,1.0332,438.7119,449.921094,7.003997,300.905985,332.686359,27.57813164
2,2,765.9995058,667.1608599,459.066173,447.94794,0,0,50.71864,49.86912,#¿NOMBRE?,#¿NOMBRE?,25.6032,26.2128,34.1,36.2,SA,SA,NA,Media,Baja,98.83864591,24.755386,3.16848,449.921094,434.632649,22.964154,332.686359,322.708637,29.03518613
3,3,988.3864591,976.0316284,0,23.223043,0,0,7.04872,10.58456,#¿NOMBRE?,#¿NOMBRE?,0,6.7056,4.2,5.1,SA,SA,NA,Baja,Baja,0,0,0,0,10.971296,0,0,0,9.528988338
3,3,976.0316284,976.0316284,23.223043,39.917885,0,0,10.58456,14.53368,#¿NOMBRE?,#¿NOMBRE?,6.7056,7.9248,5.1,6.2,SA,SA,NA,Baja,Baja,12.35483074,0.167928,0.09184,10.971296,28.204907,0,0,0,11.75058581
3,3,976.0316284,976.0316284,39.917885,59.439515,0,0,14.53368,18.368,#¿NOMBRE?,#¿NOMBRE?,7.9248,9.4488,6.2,7,SA,SA,NA,Baja,Baja,0,0,0,28.204907,48.048399,0,0,0,13.76926983
3,3,976.0316284,976.0316284,59.439515,71.642283,0,0,18.368,20.4344,#¿NOMBRE?,#¿NOMBRE?,9.4488,10.3632,7,7.7,SA,SA,NA,Baja,Baja,0,0,0,48.048399,60.328134,0,0,0.251892,15.47939737
3,3,976.0316284,976.0316284,71.642283,94.900311,0,0,20.4344,23.90136,#¿NOMBRE?,#¿NOMBRE?,10.3632,11.5824,7.7,8.9,SA,SA,NA,Baja,Baja,0,0,0,60.328134,83.586162,0,0.251892,2.58889,16.32691226
3,3,976.0316284,976.0316284,94.900311,120.019541,0,0,23.90136,27.50608,#¿NOMBRE?,#¿NOMBRE?,11.5824,12.8016,8.9,10.3,SA,SA,NA,Baja,Baja,0,0,0,83.586162,108.978275,0,2.58889,9.613878,17.65771164
3,3,976.0316284,938.9671362,120.019541,143.564446,0,0,27.50608,29.22808,#¿NOMBRE?,#¿NOMBRE?,12.8016,14.3256,10.3,12.1,SA,SA,NA,Baja,Baja,0,0,0,108.978275,132.572159,0,9.613878,22.404394,18.94250736
3,3,938.9671362,938.9671362,143.564446,173.483618,0,0,29.22808,31.89144,#¿NOMBRE?,#¿NOMBRE?,14.3256,15.5448,12.1,14.3,SA,SA,NA,Baja,Baja,37.06449222,3.463515,0.78064,132.572159,162.05052,2.910752,22.404394,40.5826,19.90810886
3,3,938.9671362,926.6123054,173.483618,198.120055,0,0,31.89144,34.46296,#¿NOMBRE?,#¿NOMBRE?,15.5448,16.764,14.3,16.1,SA,SA,NA,Baja,Baja,0,0,0,162.05052,187.001822,0,40.5826,62.441228,20.79538322
3,3,926.6123054,926.6123054,198.120055,236.42863,0,0,34.46296,37.70032,#¿NOMBRE?,#¿NOMBRE?,16.764,17.9832,16.1,18.1,SA,SA,NA,Baja,Baja,12.35483074,1.917178,0.3444,187.001822,225.114481,1.74925,62.441228,94.830341,21.7611737
3,3,926.6123054,889.5478132,236.42863,283.595407,0,0,37.70032,40.57032,#¿NOMBRE?,#¿NOMBRE?,17.9832,19.5072,18.1,20.3,SA,SA,NA,Baja,Baja,0,0,0,225.114481,272.547144,0,94.830341,141.808199,22.76032955
3,3,889.5478132,889.5478132,283.595407,311.310524,0,0,40.57032,42.3612,#¿NOMBRE?,#¿NOMBRE?,19.5072,20.7264,20.3,22.1,SA,SA,NA,Baja,Baja,37.06449222,6.115378,0.98728,272.547144,300.017366,5.506639,141.808199,166.066798,24.09764642
3,3,889.5478132,840.1284902,311.310524,336.27582,0,0,42.3612,43.8536,#¿NOMBRE?,#¿NOMBRE?,20.7264,21.6408,22.1,24,SA,SA,NA,Baja,Baja,0,0,0,300.017366,325.941251,0,166.066798,201.02381,24.62376956
3,3,840.1284902,827.7736595,336.27582,377.397189,0,0,43.8536,45.87408,#¿NOMBRE?,#¿NOMBRE?,21.6408,24.0792,24,26,SA,SA,NA,Baja,Baja,49.41932296,9.627872,1.44648,325.941251,366.99265,8.81622,201.02381,239.472325,25.7801137
3,3,827.7736595,778.3543365,377.397189,403.985789,0,0,45.87408,47.11392,#¿NOMBRE?,#¿NOMBRE?,24.0792,24.9936,26,28.1,SA,SA,NA,Baja,Baja,12.35483074,1.763244,0.27552,366.99265,394.476866,1.518349,239.472325,275.233992,26.56335595
